timestamp,sn,text
2019-03-28 11:07:08,RichShaffer108,RT @RichShaffer108: Barbara Bush kept a clock that counted down to the end of Donald Trump's presidency by her bedside #Republicans #GOP #B…
2019-03-28 11:07:03,john_verma1,"All about today
 जय भाजपा
तय भाजपा 
@narendramodi
#narendramodi #bjp #BJPVijaySankalp #MainBhiChowkidar… https://t.co/bOlhfBg5lg"
2019-03-28 11:06:54,OdiaCulture,#Odisha #GeneralElection2019 #LokSabha candidate list of all major political parties. Updated list #BJP #BJD… https://t.co/gA6bKiZbhF
2019-03-28 11:06:36,HetavPatelBJP,RT @GallaGossip: #Congress #BJP #LokSabhaElections2019 #India #HardikPatel #Gujarat #CongressMuktBharat #CongressInsultsIndia #congresskifa…
2019-03-28 11:06:25,Abhishe37332072,"RT @DubeyRk2: @News18UP @priyankagandhi @BJP4UP आपको भी केवल शिक्षामित्र ही दिखें... 

#BEDTET2011 वाले किसी को नहीं दिखते जो योग्य होते हु…"
2019-03-28 11:06:09,BharatheshBhara,"ಪ್ರಾಮಾಣಿಕವಾಗಿ ದುಡಿಯುವ ಎತ್ತುಗಳು ಐಟಿ ದಾಳಿಗೆ ಹೆದರಲ್ಲ

 #Congress #ITRaid 
@hd_kumaraswamy"
2019-03-28 11:06:08,trendynewslive,"शत्रुघ्न सिन्हा ने बदला पाला, कांग्रेस में हुए शामिल
https://t.co/7aWyVqd9Fy

#BJP #Congress #ShatrughanSinha… https://t.co/605jORF5sg"
2019-03-28 11:06:05,Maulesh_Pawar,@AadeshRawal #WorldTheatreDay #Congress #SCAM #Elections2019 #Election
2019-03-28 11:05:29,Imabhijit_joy,"Never forget 😡😡😡😡😡
#LokSabhaElections2019 
#CongressMuktBharat 
#Congress
@INCIndia @RahulGandhi https://t.co/5HnfMrsgby"
2019-03-28 11:05:15,NEERAJ677744,RT @navjivanindia: #Congress के एक कार्यकर्ता ने #PriyankaGandhi को लड्डुओं से तौलने की तैयारी की हुई थी। इसके लिए बाकायदा एक बड़ा तराजू भी…
2019-03-28 11:04:55,lifeinportugal,#Expocosmetica #Porto #Porto #March30th-April1 #event #meeting  #cosmetics #innovation #tech #beauty #products… https://t.co/pEPloMa7sk
2019-03-28 11:04:47,RajanLodha,"@JhaSanjay #Congress.....Kham
Ask your #Gujarat unit to explain this. 🙏"
2019-03-28 11:04:43,feed_qa,"Should #RahulGandhi step down as INC president and make a way for #PriyankaGandhi ?
: https://t.co/UdSL642elk
#BJP… https://t.co/15WRFiHZ6q"
2019-03-28 11:03:57,ImranKh07719259,RT @thatsTamil: பெங்களூர் தெற்கு தொகுதி பாஜக வேட்பாளர் தேஜஸ்வி சூர்யா மீது பெண் பரபரப்பு பாலியல்  குற்றச்சாட்டு!  https://t.co/42vIQVrcSQ #…
2019-03-28 11:03:57,LacharamD,@RahulGandhi #Congress best candidate jalore sirohi se only Ratan Dewasi
2019-03-28 11:03:50,RdjMuruga,RT @Kalaignarnews: காங்கிரஸ் கட்சியில் இணையும் பாலிவுட் நடிகர் சத்ருகன் சின்ஹா #Shatrughan Sinha #RahulGandhi #Congress https://t.co/GosWmj…
2019-03-28 11:03:40,farman_pasha,RT @sri50: #ShatrunghanSinha met @RahulGandhi today and will officially join @Congress  on April 6. He will contest from his old seat (two…
2019-03-28 11:03:37,oneindiatelugu,"కర్ణాటకలో హైడ్రామా! రోడ్డెక్కిన ముఖ్యమంత్రి, ఉప ముఖ్యమంత్రి https://t.co/nHueZmrcKr #IT #ITraids #Karnataka… https://t.co/Fq3seRiBjw"
2019-03-28 11:03:33,ladyluvsfishin,"On this day in 1834 #Congress censures Jackson - He claimed that the #bank had too many #foreigninvestors, favored… https://t.co/GG3RJXzYoa"
2019-03-28 11:03:28,Punjab_Da_Sher,"Congressmen beat up an old Sikh man in Hari Nagar, said ""Sardar ko 1984 yaad dila denge""

#Congress… https://t.co/M1B3ofhxfE"
2019-03-28 11:03:14,shreenathsingh1,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 11:03:03,HetavPatelBJP,"RT @GallaGossip: कामदार vs दागदार🧐

#NarendraModi #Congress #BJP #Meerut #ThursdayMotivation #IndiaSpaceSuperPower #IndiaWithNaMo #LokSabha…"
2019-03-28 11:02:50,ImAshuSingh_,"मोदी की सबसे बड़ी खासियत यह है कि बम पाकिस्तान में फोड़ें या अंतरिक्ष में...
.
.
.
पर धुआँ #कांग्रेस के पिछवाड़े से… https://t.co/onHEam81zN"
2019-03-28 11:02:45,AsianMakers,"https://t.co/Es7h3RUR1j

#bjp #indiaElection #Asia #ElectionsImpact #BJP #Congress #politics #venkatnarayan #BinnyYadav #AsianNewsMakers"
2019-03-28 11:02:43,TGleitman,YES! #CONGRESS @congress you MUST ACT! Please change or make new laws to NOT give so many benefits to illegals. The… https://t.co/0Wd7wQz5Rl
2019-03-28 11:02:26,shama_tr,RT @reallyurmila: Joind #Congress today. Thanks Mr. Rahul Gandhi ji 🙏 https://t.co/dPUFy7kNtV
2019-03-28 11:02:20,LPJOSHI,"RT @onlytg_gt: अगर धरती से 300 किलोमीटर दूर सेटेलाइट विस्फोट का अद्भुत कारनामा कांग्रेस के राज में होता तो उस परियोजना का नाम होता ""राजीव…"
2019-03-28 11:02:18,Jayakum76335790,"RT @SanjaySDutt: On way to #Karaikal to address #Congress #LoksabhaElection mtg, paid tributes to our all time inspiration &amp; beloved leader…"
2019-03-28 11:02:18,thenglishpost,"#ShatrughanSinha meets #RahulGandhi , to join #Congress on April 6 

https://t.co/2aZWn9jhG7

#LokSabhaElections2019 #Elections2019"
2019-03-28 11:02:05,SanjayJ07609621,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 11:02:03,Kalaignarnews,காங்கிரஸ் கட்சியில் இணையும் பாலிவுட் நடிகர் சத்ருகன் சின்ஹா #Shatrughan Sinha #RahulGandhi #Congress https://t.co/GosWmjPBSW
2019-03-28 11:01:46,TRRajesh12,"RT @bstvlive: #ElectionWithBSTV 

#Exclusive : #Congress नेता @JitinPrasada का #Lucknow से लड़ना लगभग तय। https://t.co/TQWrV8w8rn"
2019-03-28 11:01:29,karavadiraghava,RT @firstpost: The two Lok Sabha constituencies of #ArunachalPradesh go to polls on 11 April. The state will also elect 60 members of its L…
2019-03-28 11:01:19,aneesmkbbaca,RT @nakkheeranweb: 2011 ஆம் ஆண்டிலேயே செயற்கைக் கோளை தாக்கி செயலிழக்கச் செய்யும் முயற்சியில் இந்திய விஞ்ஞானிகள் வெற்றிபெற்றுள்ளனர். அந்த வெ…
2019-03-28 11:00:21,thatsMalayalam,കോണ്‍ഗ്രസില്‍ ചേര്‍ന്ന് തൊട്ടടുത്തദിവസം ഹിറ്റ് നടി ആദ്യവെടി പൊട്ടിച്ചു; ട്രോളുകളില്‍ നിലയ്ക്കില്ല… https://t.co/5jIA2kKo5t
2019-03-28 11:00:17,frjohn_szada,RT @kevinjjones: Well here we are: the proposed Equality Act would add sexual orientation and gender identity to categories protected by fe…
2019-03-28 11:00:12,ASHOKBARTIA3,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 11:00:08,iabhishekpandya,"RT @GallaGossip: अरे अपने घर मैं क्या हो रहा है वो देखो 

#NarendraModi #BJP #CongressMuktBharat #Congress #congresskifakediaries #Congress…"
2019-03-28 11:00:05,andreiblanda,Net neutrality: Can the New Bill in #Congress Save Internet Freedom? https://t.co/Kf7t0wQxLq @startupvoyager #netneutrality
2019-03-28 11:00:05,risingredrahul,"दस- दस बीजेपी वालों पर भारी पड़ गया एक कांग्रेसी, बीजेपी समर्थकों को नहीं सूझा कोई जवाब, अयोध्या लोकसभा क्षेत्र में… https://t.co/0yoOrBF6WQ"
2019-03-28 11:00:04,FinancialXpress,"#UrmilaMatondkar , the #Congress leader speaks: There's atmosphere of hate in country
https://t.co/DwhqpXcWr1"
